                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.3457,                0.73124,                 1.0342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.3302,                 0.7414,                 1.0393,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018218,              0.0018218,              0.0018218
                     92,                  1.319,                0.71808,                 1.0483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018198,              0.0018198,              0.0018198
                     93,                 1.2751,                0.69593,                 1.0139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018178,              0.0018178,              0.0018178
                     94,                 1.3034,                0.72433,                 1.0313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018159,              0.0018159,              0.0018159
                     95,                 1.3371,                0.74626,                 1.0329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018139,              0.0018139,              0.0018139
                     96,                 1.3026,                0.70606,                 1.0406,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018119,              0.0018119,              0.0018119
                     97,                 1.3306,                0.75275,                 1.0426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018099,              0.0018099,              0.0018099
                     98,                 1.3183,                0.71479,                 1.0428,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018079,              0.0018079,              0.0018079
                     99,                 1.2967,                0.72157,                 1.0245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001806,               0.001806,               0.001806
                    100,                 1.3044,                0.71578,                 1.0398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001804,               0.001804,               0.001804
                    101,                 1.3252,                0.69855,                 1.0315,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001802,               0.001802,               0.001802
                    102,                 1.3038,                0.70253,                 1.0142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0018,                 0.0018,                 0.0018
                    103,                 1.2581,                0.69194,                 1.0314,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001798,               0.001798,               0.001798
                    104,                 1.2661,                0.68061,                 1.0293,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017961,              0.0017961,              0.0017961
                    105,                 1.3626,                0.72983,                 1.0401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017941,              0.0017941,              0.0017941
                    106,                 1.3519,                0.72688,                 1.0521,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017921,              0.0017921,              0.0017921
                    107,                  1.283,                0.72291,                 1.0284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017901,              0.0017901,              0.0017901
                    108,                 1.3481,                0.72581,                  1.049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017881,              0.0017881,              0.0017881
                    109,                 1.2939,                0.72092,                 1.0275,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017862,              0.0017862,              0.0017862
                    110,                 1.3178,                0.70905,                 1.0349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017842,              0.0017842,              0.0017842
                    111,                 1.2775,                0.70628,                 1.0313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017822,              0.0017822,              0.0017822
                    112,                 1.2677,                0.70528,                 1.0042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017802,              0.0017802,              0.0017802
                    113,                 1.2853,                0.69697,                 1.0241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017782,              0.0017782,              0.0017782
                    114,                 1.2869,                0.70571,                  1.012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017763,              0.0017763,              0.0017763
                    115,                 1.2965,                0.71147,                  1.044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017743,              0.0017743,              0.0017743
                    116,                 1.2211,                0.66803,                0.99647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017723,              0.0017723,              0.0017723
                    117,                 1.2939,                0.69932,                  1.042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017703,              0.0017703,              0.0017703
                    118,                   1.26,                0.67388,                 1.0241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017683,              0.0017683,              0.0017683
                    119,                   1.28,                0.67701,                 1.0383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017664,              0.0017664,              0.0017664
                    120,                 1.2637,                0.68013,                 1.0092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017644,              0.0017644,              0.0017644
                    121,                 1.2432,                0.67238,                 1.0127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017624,              0.0017624,              0.0017624
                    122,                 1.2271,                0.67129,                 1.0093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017604,              0.0017604,              0.0017604
                    123,                 1.2595,                0.69658,                 1.0162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017584,              0.0017584,              0.0017584
                    124,                 1.2732,                0.69886,                0.99523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017565,              0.0017565,              0.0017565
                    125,                 1.2724,                0.68367,                  1.028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017545,              0.0017545,              0.0017545
                    126,                 1.2837,                0.67557,                 1.0131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017525,              0.0017525,              0.0017525
                    127,                 1.3053,                0.70229,                 1.0368,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017505,              0.0017505,              0.0017505
                    128,                 1.2551,                0.68057,                 1.0113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017485,              0.0017485,              0.0017485
                    129,                 1.2581,                0.69681,                 1.0183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017466,              0.0017466,              0.0017466
                    130,                 1.2377,                0.69396,                 1.0035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017446,              0.0017446,              0.0017446
                    131,                 1.2298,                0.66735,                  1.014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017426,              0.0017426,              0.0017426
                    132,                 1.2231,                0.66209,                0.99388,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017406,              0.0017406,              0.0017406
                    133,                 1.2152,                0.64123,                 1.0067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017386,              0.0017386,              0.0017386
